hpx,Mean,StDev,Min,Max,Median,Q10,NGood,RA,Dec,GAL_LONG,GAL_LAT
343,0.004737788,0.0025772979,1.1638E-4,0.01639382,0.00445648,0.00163721,3132,123.74999999999999,4.780191847199159,218.3232840204813,20.74747521687372
344,0.0021494164,0.0010266977,6.019E-5,0.00859662,0.00199228,9.4606E-4,16503,101.24999999999999,-4.780191847199159,216.45926793455968,-3.606789876649962
345,0.0023362841,0.0011257733,5.778E-5,0.00848891,0.00217989,0.001014696,13895,106.87499999999999,0.0,214.7653157570224,3.5731577465532296
346,0.0025510883,0.0012344787,7.874E-5,0.00968637,0.0023868,0.00108589,11720,95.62500000000001,0.0,209.61917308300033,-6.4350241515112065
347,0.0023153056,0.0011162147,5.135E-5,0.00783797,0.00214323,0.00100401,14027,101.24999999999999,4.780191847199159,207.94457548453613,0.7499378837562118
348,0.0032395308,0.0016486783,5.498E-5,0.01012629,0.00300192,0.00127141,6915,112.5,4.780191847199159,213.04451185957365,10.749941042102703
349,0.0042891786,0.0022635497,7.602E-5,0.01807006,0.00399885,0.00160052,3947,118.12500000000001,9.594068226860461,211.12831370129385,17.881364342045647
350,0.0027573144,0.0013731273,6.781E-5,0.00999225,0.002556535,0.001112044,9808,106.87499999999999,9.594068226860461,206.15716496747604,7.900232261011693
351,0.0039418973,0.001992111,1.3887E-4,0.01388721,0.00368515,0.00158541,4695,112.5,14.477512185929923,204.08594831983115,14.96957047363091
352,0.0074525787,0.004132428,2.7118E-4,0.02501788,0.00690725,0.002524496,1255,67.5,-14.477512185929923,210.5385994217004,-37.78364004870118
353,0.006200758,0.0033991085,6.626E-5,0.02146751,0.0057068,0.00216473,1801,73.12500000000001,-9.594068226860461,207.94798924720857,-30.746510624139763
354,0.0075641386,0.0041981153,1.0034E-4,0.02852234,0.0069371,0.00241899,1162,61.87499999999999,-9.594068226860461,201.79387961331565,-40.65750571931322
355,0.006579649,0.0035273372,1.9253E-4,0.02171427,0.00613015,0.00228354,1562,67.5,-4.780191847199159,199.85366095819907,-33.452627048496204
356,0.005276649,0.0028813,1.0209E-4,0.01864336,0.00492308,0.00182914,2420,78.75,-4.780191847199159,205.9465971817627,-23.595544158947476
357,0.004077931,0.0021178497,6.749E-5,0.01609028,0.0037749,0.00158044,4433,84.37499999999999,0.0,204.26489180694432,-16.389681977161604
358,0.005600485,0.002955281,5.103E-5,0.01702879,0.005185455,0.001961546,2278,73.12500000000001,0.0,198.3334341542713,-26.194353007084445
359,0.0041892976,0.0022082792,5.015E-5,0.0133987,0.00393823,0.00148944,4094,78.75,4.780191847199159,196.99262214785878,-18.92198783508357
360,0.008390887,0.0047061117,5.9034E-4,0.03207821,0.00759379,0.00294599,987,56.25,-4.780191847199159,192.4255577164831,-43.03876579530239
361,0.0076305596,0.0041968436,1.3921E-4,0.02318986,0.00720039,0.00251579,1195,61.87499999999999,0.0,191.32024415581174,-35.71139566996999
362,0.00869642,0.0048547313,1.1064E-4,0.02805847,0.00807947,0.00299987,929,50.62499999999999,0.0,182.45163317975064,-44.71305540988458
363,0.007834025,0.0044264644,7.996E-5,0.02869909,0.00704067,0.00259283,1121,56.25,4.780191847199159,182.3621310798064,-37.33655035661126
364,0.006762209,0.0036639785,5.14E-5,0.02279628,0.00640892,0.00230177,1582,67.5,4.780191847199159,190.4020777723988,-28.37563042949089
365,0.0048189797,0.0025916786,6.119E-5,0.018626,0.004484515,0.00172931,3036,73.12500000000001,9.594068226860461,189.4856160825211,-21.053906208133085
366,0.0068034288,0.0036544276,2.2362E-4,0.02192499,0.006569785,0.002087652,1560,61.87499999999999,9.594068226860461,182.16041714951123,-29.969659788898635
367,0.005389579,0.0028944206,1.0011E-4,0.01824954,0.00507346,0.00185549,2507,67.5,14.477512185929923,181.7439085367685,-22.624465666265987
368,0.003353641,0.0017158367,5.429E-5,0.01163965,0.00314239,0.00129192,6528,90.0,4.780191847199159,202.70386157876402,-9.171417095103832
369,0.0022731742,0.0010765931,8.141E-5,0.00749024,0.00210295,9.92136E-4,14665,95.62500000000001,9.594068226860461,201.09818169102226,-1.9777564216296197
370,0.0032748089,0.0016916657,7.993E-5,0.01512078,0.00305177,0.00127813,6731,84.37499999999999,9.594068226860461,195.65354882922537,-11.667088552765854
371,0.0024700721,0.0011960287,6.373E-5,0.00829965,0.002289065,0.001056551,12244,90.0,14.477512185929923,194.16413405878575,-4.461582416496818
372,0.002538161,0.0012264702,6.221E-5,0.0082406,0.00237156,0.00107066,11401,101.24999999999999,14.477512185929923,199.29017632705907,5.151677301298509
373,0.003517779,0.0017896212,7.857E-5,0.01269859,0.00328226,0.00136851,5911,106.87499999999999,19.47122063449069,197.1079744232034,12.166498088033846
374,0.0023738993,0.0011389523,6.665E-5,0.00842461,0.00221038,0.001034916,13359,95.62500000000001,19.47122063449069,192.3725491504136,2.6553477306618007
375,0.003066407,0.0015562151,6.34E-5,0.01031544,0.00284241,0.001230535,7626,101.24999999999999,24.624318352164078,190.10576611753592,9.629095222136124
376,0.003967768,0.0020330676,1.0068E-4,0.0124377,0.00369972,0.001511634,4615,78.75,14.477512185929923,188.42760320854785,-13.76874357171711
377,0.0027205702,0.0013484993,5.973E-5,0.00911966,0.00254096,0.001125604,10037,84.37499999999999,19.47122063449069,187.09531602585272,-6.548060314606492
378,0.0040830006,0.002135518,5.023E-5,0.01480426,0.00387829,0.00148931,4232,73.12500000000001,19.47122063449069,181.0163327954091,-15.318098991812677
379,0.003090862,0.0015676178,6.399E-5,0.010971,0.00284819,0.001244752,7433,78.75,24.624318352164078,179.86888979021018,-8.076170574168383
380,0.0024974998,0.0012125785,7.309E-5,0.00940581,0.00234975,0.00105094,12053,90.0,24.624318352164078,185.34419577449216,0.568962994196327
381,0.0028619668,0.001414019,8.106E-5,0.00919685,0.00267404,0.00118237,8988,95.62500000000001,30.000000000000004,182.9968145449383,7.52338921748186
382,0.0029499119,0.0015255472,6.966E-5,0.0102719,0.002755145,0.001143822,8334,84.37499999999999,30.000000000000004,178.1628279472632,-0.9381658401582408
383,0.0027446607,0.0013802925,6.489E-5,0.01059889,0.00254692,0.001108613,9818,90.0,35.68533471265205,175.707460339242,6.033299700598867
384,0.0042189574,0.0021724764,8.387E-5,0.01784039,0.00390209,0.001616542,3948,180.0,-35.68533471265205,291.3266363446206,26.024560927073768
385,0.0049661407,0.0026706671,1.3045E-4,0.02031968,0.00458667,0.00181393,2855,185.62500000000003,-30.000000000000004,295.50602060206967,32.454147424087125
386,0.0049613044,0.0026292424,5.13E-5,0.01625398,0.00465193,0.001725955,2898,174.375,-30.000000000000004,284.40894420384313,30.198474628483904
387,0.0057564513,0.003015965,2.2674E-4,0.01935386,0.00547307,0.002157052,2087,180.0,-24.624318352164078,288.29994370020995,36.78162378685464
388,0.005523458,0.0029294428,6.951E-5,0.0209521,0.0052065,0.00205828,2352,191.25000000000003,-24.624318352164078,301.06942094959834,38.22414635136539
389,0.006151483,0.0032407038,2.4534E-4,0.01788306,0.00578929,0.00219155,1830,196.875,-19.47122063449069,308.13153143586453,43.23830675824353
390,0.0062459838,0.0033736592,7.561E-5,0.02051109,0.00579647,0.00237409,1840,185.62500000000003,-19.47122063449069,293.6081250540667,42.876025789991075
391,0.006485895,0.00343096,1.8991E-4,0.02221307,0.006118115,0.002418957,1742,191.25000000000003,-14.477512185929923,300.5859918117603,48.364908540125484
392,0.005747348,0.0030597013,1.4473E-4,0.01786591,0.00534631,0.00199138,2159,168.74999999999997,-24.624318352164078,276.56659050201074,33.26295966536506
393,0.0064514154,0.0034867884,4.2391E-4,0.02362545,0.0059825,0.002263345,1682,174.375,-19.47122063449069,279.93744370883314,40.07615631688848
394,0.006202016,0.0033165356,3.6622E-4,0.0201956,0.00573751,0.00223807,1815,163.125,-19.47122063449069,268.0179926464931,35.21274491927725
395,0.0072820974,0.003932878,3.1869E-4,0.02342623,0.00674263,0.002744034,1389,168.74999999999997,-14.477512185929923,270.62579501455843,42.26494847788447
396,0.0069932267,0.0036310474,3.5492E-4,0.02035775,0.00650511,0.0025969,1447,180.0,-14.477512185929923,284.6668830246894,46.561946179244686
397,0.0073477263,0.0039787004,1.9178E-4,0.02101687,0.0068158,0.00258973,1314,185.62500000000003,-9.594068226860461,291.1318349508056,52.613410546034544
398,0.0074544805,0.0040511787,9.69E-5,0.0244744,0.00709669,0.002715764,1268,174.375,-9.594068226860461,274.38930479911744,49.13647315048048
399,0.00768939,0.0041612764,5.0188E-4,0.02862599,0.0073742,0.0024242,1170,180.0,-4.780191847199159,279.71988634458575,55.75608418167076
400,0.00627581,0.003559938,1.6535E-4,0.02515514,0.00586064,0.00210366,1753,202.49999999999997,-14.477512185929923,316.7800030705461,47.354712233357354
401,0.006322707,0.0034853637,1.0599E-4,0.0224913,0.00585394,0.0020702,1721,208.125,-9.594068226860461,326.96922136140756,50.40597113238241
402,0.00704268,0.0036562555,1.685E-4,0.0207127,0.00673733,0.00255112,1431,196.875,-9.594068226860461,309.53109749958116,53.071748690126434
403,0.0073517337,0.0039255745,1.6074E-4,0.02481576,0.00684036,0.00263313,1321,202.49999999999997,-4.780191847199159,320.65635960264996,56.7586541626928
404,0.007049757,0.003639898,2.641E-4,0.01870065,0.00655755,0.0026999,1502,213.74999999999997,-4.780191847199159,338.403661123368,52.2409222397886
405,0.0067288787,0.003565184,3.6314E-4,0.02360536,0.00627884,0.00242297,1567,219.37499999999997,0.0,350.50642670415004,52.78515946878435
406,0.007460594,0.003972224,6.5E-5,0.02435946,0.00703326,0.00267411,1331,208.125,0.0,333.83393071743427,59.15816042256128
407,0.0073429844,0.0038539576,2.8093E-4,0.02257983,0.00687803,0.00247284,1251,213.74999999999997,4.780191847199159,348.3363708766794,60.064746274643866
408,0.0074069845,0.0039165495,4.8012E-4,0.02335402,0.00695546,0.00272741,1292,191.25000000000003,-4.780191847199159,299.8997161349981,58.05364756912011
409,0.007954057,0.004271076,9.271E-5,0.02339035,0.00736648,0.00303969,1134,196.875,0.0,311.6839422394334,62.598489159125464
410,0.0076876134,0.004399716,7.374E-5,0.02934436,0.00709348,0.002519446,1109,185.62500000000003,0.0,287.3753189055957,61.994553830362776
411,0.007710334,0.004275149,1.6854E-4,0.02790399,0.007270305,0.002399798,1182,191.25000000000003,4.780191847199159,298.71993505615575,67.59927391343965
412,0.008017383,0.0043190112,8.716E-5,0.02772004,0.007568285,0.002748269,1114,202.49999999999997,4.780191847199159,326.98951022788765,65.83442774014136
413,0.0075807534,0.0040290924,9.422E-5,0.02617307,0.00719463,0.002765549,1204,208.125,9.594068226860461,345.22160825166696,67.30537284356224
414,0.008011602,0.0044108257,9.91E-5,0.02827983,0.00724809,0.00288022,1124,196.875,9.594068226860461,315.88613006293144,72.06065392399104
415,0.008548905,0.004841157,4.1157E-4,0.03061981,0.00784758,0.002636245,936,202.49999999999997,14.477512185929923,340.24200370791226,74.48356292831735
416,0.006969968,0.0036592958,5.05E-5,0.02264965,0.0065142,0.00259702,1455,157.5,-14.477512185929923,259.0463329434043,36.070108365947895
417,0.0073005552,0.0039954796,1.3166E-4,0.02787847,0.00685713,0.00244208,1289,163.125,-9.594068226860461,260.70012010413814,43.314293445657
418,0.007052083,0.003729419,1.348E-4,0.0234157,0.00668618,0.00253843,1385,151.875,-9.594068226860461,249.9558758188963,35.90524739719444
419,0.007842517,0.0042637666,1.6586E-4,0.03124781,0.00747061,0.002588898,1203,157.5,-4.780191847199159,250.5712977460099,43.258828134272676
420,0.008275229,0.0044117346,1.2997E-4,0.02690518,0.00779326,0.002995333,1078,168.74999999999997,-4.780191847199159,263.15241524363216,50.49122619539948
421,0.009045618,0.004631368,1.5152E-4,0.03051744,0.00873731,0.00358624,901,174.375,0.0,266.68577111008915,57.572773795613614
422,0.008855262,0.0046913163,3.8502E-4,0.02985812,0.00839445,0.002806172,958,163.125,0.0,251.53257681370846,50.60655634379152
423,0.0091225635,0.0050845244,7.6709E-4,0.03332165,0.00846713,0.00326066,858,168.74999999999997,4.780191847199159,252.85162898437736,57.94342965358817
424,0.0068079266,0.0036993306,1.3041E-4,0.02557833,0.00646858,0.002282028,1490,146.25000000000003,-4.780191847199159,241.01075948977646,34.83865774769917
425,0.007862276,0.004570199,6.7492E-4,0.03730978,0.00713038,0.002675293,1122,151.875,0.0,240.6240522689968,42.209288799049915
